Generation 12 | Average Generation Fitness: 0.7956570051986657 | Best Fitness: 0.8329356594635613 | Population Length: 200
Generation 13 | Average Generation Fitness: 0.7953554129645356 | Best Fitness: 0.833047617110098 | Population Length: 200
Generation 14 | Average Generation Fitness: 0.7936466349468253 | Best Fitness: 0.8330858891310932 | Population Length: 200
Generation 15 | Average Generation Fitness: 0.793086081273663 | Best Fitness: 0.8331129073301384 | Population Length: 200
Generation 16 | Average Generation Fitness: 0.7984070688335172 | Best Fitness: 0.8331129073301384 | Population Length: 200
Generation 17 | Average Generation Fitness: 0.7901797614370075 | Best Fitness: 0.8331129073301384 | Population Length: 200
Generation 18 | Average Generation Fitness: 0.7904400480629404 | Best Fitness: 0.8331644421716184 | Population Length: 200
Generation 19 | Average Generation Fitness: 0.7908445240824353 | Best Fitness: 0.8331644421716184 | Population Length: 200
Generation 20 | Average Generation Fitness: 0.7928146115085781 | Best Fitness: 0.8331644421716184 | Population Length: 200
Generation 21 | Average Generation Fitness: 0.7910329858950047 | Best Fitness: 0.8331777187757227 | Population Length: 200
Generation 22 | Average Generation Fitness: 0.7942033358498378 | Best Fitness: 0.8332315951784984 | Population Length: 200
Generation 23 | Average Generation Fitness: 0.7889505162222057 | Best Fitness: 0.8332315951784984 | Population Length: 200
Generation 24 | Average Generation Fitness: 0.7937096915152267 | Best Fitness: 0.8332315951784984 | Population Length: 200
Generation 25 | Average Generation Fitness: 0.7925030778337598 | Best Fitness: 0.8332426114915167 | Population Length: 200
Generation 26 | Average Generation Fitness: 0.7984737767828709 | Best Fitness: 0.8332556026932879 | Population Length: 200
Generation 27 | Average Generation Fitness: 0.7921546347400618 | Best Fitness: 0.8332648460654892 | Population Length: 200
Generation 28 | Average Generation Fitness: 0.8007088668945457 | Best Fitness: 0.8332725008826724 | Population Length: 200
Generation 29 | Average Generation Fitness: 0.797326951165986 | Best Fitness: 0.8332823987599354 | Population Length: 200
Generation 30 | Average Generation Fitness: 0.7957493837038921 | Best Fitness: 0.8333013908061053 | Population Length: 200
Generation 31 | Average Generation Fitness: 0.7936753974861862 | Best Fitness: 0.8333069309952743 | Population Length: 200
Generation 32 | Average Generation Fitness: 0.7930741266223487 | Best Fitness: 0.8333069309952743 | Population Length: 200
Generation 33 | Average Generation Fitness: 0.7942578012577269 | Best Fitness: 0.8333069309952743 | Population Length: 200
Generation 34 | Average Generation Fitness: 0.7933051445381298 | Best Fitness: 0.8333069309952743 | Population Length: 200
Generation 35 | Average Generation Fitness: 0.7872268512411362 | Best Fitness: 0.8333177015732232 | Population Length: 200
